lookupValue,genus_Value,species_Value
Uame,Ulmus,americana
Qalb,Quercus,alba
Fpen,Fraxinus,pennsylvanica
Qbic,Quercus,bicolor
Qrub,Quercus,rubra
Fnig,Fraxinus,nigra
Qmac,Quercus,macrocarpa
Ost,Ostrya,sp.
Ace,Acer,sp.
Cova,Carya,ovata
Qell,Quercus,ellipsoidalis
Til,Tilia,sp.
Fp.,Fraxinus,pennsylvanica
Qr.,Quercus,rubra
Jn.,Juglans,niger
Qa.,Quercus,alba
Ascc,Acer,saccharum
Ar,Acer,rubrum
Asc.,Acer,saccharum
As.,Acer,saccharum
Qa,Quercus,alba
Ar.,Acer,rubrum
Qalb.,Quercus,alba
Arub,Acer,rubrum
Qpal,Quercus,palustris
&Qr,Quercus,rubra
EQr,Quercus,rubra
Qr,Quercus,rubra
&Qa,Quercus,alba
pru,Unkn,Unkn
Covat,Carya,ovata
Qv,Quercus,velutina
Qma,Quercus,macrocarpa
Acesac,Acer,saccharum
